year_quarter,metric,line_type,linemain,insurer,value
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,3447,0.00095
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,3866,0.00183330059
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,3879,0.00080633143
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,4014,3.000965e-05
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,4079,1.289655e-05
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,4358,0.00157
2022-01-01,ceded_losses,life,инвестиционное страхование жизни,total,0.00520253822
2022-01-01,ceded_losses,life,страхование жизни,3447,0.00095
2022-01-01,ceded_losses,life,страхование жизни,3866,0.00183330059
2022-01-01,ceded_losses,life,страхование жизни,3879,0.00080633143
2022-01-01,ceded_losses,life,страхование жизни,4014,3.000965e-05
2022-01-01,ceded_losses,life,страхование жизни,4079,1.289655e-05
2022-01-01,ceded_losses,life,страхование жизни,4358,0.00157
2022-01-01,ceded_losses,life,страхование жизни,total,0.00520253822
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0001,0.04555249581
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0212,0.00228122576
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0235,8.94421e-06
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0290,0.00488262038
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0348,0.00064038193
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",0928,0.29686317249
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",1208,0.28067287639
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",1209,0.00808944771
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",1336,0.00221338571
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",1675,8.1585e-06
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",2239,0.42514564349
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",2917,0.00100774464
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",3268,0.00019090214
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",3300,6.025575e-05
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",3947,0.0208594415
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",4133,0.0303794096099999
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",4174,0.00119751798
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",4331,8.63861e-05
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",4379,0.0003959134
2022-01-01,ceded_losses,non-life,"авиа, море, грузы",total,1.1205359234999999
2022-01-01,ceded_losses,non-life,дмс,0290,0.000300974835
2022-01-01,ceded_losses,non-life,дмс,0928,0.10017349999
2022-01-01,ceded_losses,non-life,дмс,1083,0.033155889705
2022-01-01,ceded_losses,non-life,дмс,1208,0.00140383807
2022-01-01,ceded_losses,non-life,дмс,1209,0.32347325734999993
2022-01-01,ceded_losses,non-life,дмс,1284,0.00527984522
2022-01-01,ceded_losses,non-life,дмс,1643,0.06045542805
2022-01-01,ceded_losses,non-life,дмс,2239,0.012549125880000001
2022-01-01,ceded_losses,non-life,дмс,3211,0.000652745565
2022-01-01,ceded_losses,non-life,дмс,3256,-0.0067187526
2022-01-01,ceded_losses,non-life,дмс,3511,0.00014232277
2022-01-01,ceded_losses,non-life,дмс,3823,0.0111350458899999
2022-01-01,ceded_losses,non-life,дмс,3828,0.20235180225
2022-01-01,ceded_losses,non-life,дмс,3879,0.00099607482
2022-01-01,ceded_losses,non-life,дмс,3954,0.05401109891
2022-01-01,ceded_losses,non-life,дмс,3969,0.00011312367
2022-01-01,ceded_losses,non-life,дмс,3972,0.0103386674999999
2022-01-01,ceded_losses,non-life,дмс,4179,0.0067373795399999
2022-01-01,ceded_losses,non-life,дмс,4331,0.01928174722
2022-01-01,ceded_losses,non-life,дмс,total,0.8358331146349997
2022-01-01,ceded_losses,non-life,каско и ж/д,0141,0.00462962276
2022-01-01,ceded_losses,non-life,каско и ж/д,0290,0.00065709121
2022-01-01,ceded_losses,non-life,каско и ж/д,0348,1.217056e-05
2022-01-01,ceded_losses,non-life,каско и ж/д,0518,0.0003609289999999
2022-01-01,ceded_losses,non-life,каско и ж/д,0574,0.0003566892
2022-01-01,ceded_losses,non-life,каско и ж/д,0585,0.00050311072
2022-01-01,ceded_losses,non-life,каско и ж/д,0630,0.02175397637
2022-01-01,ceded_losses,non-life,каско и ж/д,0928,0.06069129998
2022-01-01,ceded_losses,non-life,каско и ж/д,1083,0.00043142374
