"Сведения о cтраховых выплатах по договорам исходящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.05.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,вссего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,13407819.812960003,34775.36308,23913.567380000004,10682.2694,2093.29808,8532.978439999999,55.99288,0,0,13231.29798,0,9908.40386,0.39412,0,3322.5,10861.795699999999,8840.27417,8824.26394,0,16.01023,0,0,2021.52153,334.34272,0,1150.0411,537.13771,0,0,0,0,292572.61372,199449.98377999998,0,35,93122.62994,5225524.527109999,4517046.661839998,916105.7633,4584.71789,1474915.9762600001,231835.23356999998,327771.89019,332099.28547,66824.11079,1225129.8740300003,4603.921130000001,251854.78605,9471.38337,737.25906,8219.6583,120.09618,31476.77528,1554.11862,0,3120.19106,201905.55703999999,4206.6645,342285.57044,114337.50877999999,0,7690286.277240002,36604.29565,128056.73616000001
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",1004716.9865500001,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,81126.41682,58057.46972,0,0,0,0,0,40533.06171,40533.06171,17524.40801,0,23068.9471,0,0,0,0,0,1472.97708,0,2330.81448,19265.15554,0,0,0,,907145.91457,6957.93859,9486.71657
0141,"Страховое Акционерное Общество ""Медэкспресс""",642.22958,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,224.35405,224.35405,222.54155,0,0,0,0,0,0,0,1.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,,417.87553,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",266853.44444,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,266853.44444,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",11305.8452,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,17,17,,0,0,11288.8452,11288.8452,172.69461,0,0,0,0,0,0,9930.84465,1185.30594,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",6507.4718,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,6507.4718,3727.701,0,0,0,0,1408.07986,0,0,2319.62114,0,2779.7708,0,0,0,0,0,0,0,154.45134,2625.31946,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",20497.20858,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,20497.20858,20497.20858,0,0,0,0,0,0,0,20497.20858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",59712.68444,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,8830.69338,6554.27087,,0,2276.42251,50747.3616,2232.2312,1949.1435,0,0,0,0,0,0,283.0877,0,9843.04747,0,0,0,0,6274.4789,0,0,0,3568.56857,0,0,38672.08293,,0,0,134.62946
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",8654.459920000001,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,494.33742,494.33742,494.33742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8160.1225,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",10747.93434,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,10747.93434,10747.93434,0,0,0,10747.93434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",328.03287,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,0,0,,0,0,328.03287,328.03287,328.03287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
