Сведения о количестве заявленных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
Дата составления отчета: 19.11.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период:  январь-сентябрь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,единица
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование  ,,,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,,
,,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,,
,,,,,,,,из него,,,личное страхование,,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,,
,,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,, страхование жизни и,иные виды,,гражданской,гражданской,гражданской,иные виды,
,,,,,,,,,,,,,"пациентов,",,,,,,,,,,,из него,,,,,из него,,,,,,,,,,,Всего,здоровья, обязательного личного,Всего,ответственности,ответственности,ответственности,обязательного,Инвестиционное
№ п/п,Рег №,Наименование,Город,Всего,из них страхование,,страхование жизни,,,Всего,,,участвующих в,,,,,,,,,,,,,,,владельцев средств,,,,,,,,,,страхование,страхование,,военнослужащих и," страхования,",,владельцев,владельца опасного,перевозчика за,имущественного,страхование
,,,,,нерезидентов,Всего,(кроме,страхование жизни,пенсионное,,Всего,от несчастных,клинических,,,,,,,,,,,,,,Всего,наземного транспорта,владельцев,владельцев,,,,,,,за неисполнение или,предпринимательских,финансовых рисков,,приравненных к ним в, предусмотренные,,транспортных средств,объекта за причинение,причинение вреда,"страхования,",жизни
,,,,,,,пенсионного), заемщика,страхование,,,случаев и болезней,исследованиях,работников,медицинское,Всего,,средств наземного,,,,,,,,,, (кроме средств,автотранспортных,автотранспортных,владельцев средств,владельцев средств,владельцев средств,"организаций,",за причинение вреда,за причинение вреда,ненадлежащее,рисков,,,обязательном, федеральными,,,вреда в результате," жизни, здоровью,",предусмотренные,
,,,,,,, страхования)-всего,,,,,,лекарственного,налоговых органов,страхование,,Всего,транспорта,средств,,,,,"страхование,",,,, железнодорожного, средств (кроме, средств (страхования,железнодорожного,воздушного транспорта,водного транспорта,эксплуатирующих,вследствие недостатков,третьим лицам,исполнение,,,,государственном,законами,,,аварии на опасном, имуществу пассажиров,федеральными,
,,,,,,,,,,,,,препарата для,,,,,(кроме средств,железнодорожного,средств воздушного,средств водного,грузов,сельскохозяйственное,осуществляемое с,прочего имущества,прочего имущества,,транспорта)," страхования,", осуществляемого в,транспорта,,,опасные объекты,"товаров, работ, услуг",, обязательств по,,,, страховании лиц,,,, объекте,,законами,
,,,,,,,,,,,,,медицинского,,,,,железнодорожного,транспорта,транспорта,транспорта,,страхование - всего,государственной,юридических лиц,граждан,,, осуществляемого в,рамках международной,,,,,,, договору,,,,,,,,,,,
,,,,,,,,,,,,,применения,,,,,транспорта),,,,,, поддержкой,,,,,рамках международной, системы страхования,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, системы страхования," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ИТОГО:,,,,44062222,244163,1144644,770932,346700,373712,41092481,39519733,558111,132,65,38961622,1572748,1155047,832832,6665,517,713,103784,1958,612,22386,186192,37278,5416,2990,2426,89,365,1266,198,2921,25411,1612,3204,377219,45923,45854,69,1779174,1771216,2051,5907,0,444669
1,1675,"""Совкомбанк страхование"" (АО)",Санкт-Петербург,119845,805,0,0,0,0,108522,99130,2175,0,0,96955,9392,9118,8625,0,0,24,323,0,0,72,74,23,5,5,0,0,0,0,0,2,16,0,0,251,0,0,0,11323,11321,0,2,0,0
2,3947,"АО ""АИГ""",Москва,273,0,0,0,0,0,273,0,0,0,0,0,273,109,0,0,0,0,96,0,0,13,0,158,0,0,0,0,0,0,0,39,119,0,0,6,0,0,0,0,0,0,0,0,0
3,2239,"АО ""АльфаСтрахование""",Москва,6805237,2368,0,0,0,0,6586511,6378640,21149,0,0,6357491,207871,137765,103100,185,45,75,2299,59,38,2439,29563,4564,1791,1260,531,0,106,22,1,37,2606,1,2545,62997,0,0,0,218726,218599,18,109,0,0
4,3064,"АО ""Боровицкое страховое общество""",Москва,4551,111,0,0,0,0,488,389,20,0,0,369,99,76,66,0,0,0,1,0,0,6,3,23,8,8,0,0,0,0,0,2,5,8,0,0,0,0,0,4063,4063,0,0,0,0
5,1284,"АО ""Группа Ренессанс Страхование""",Москва,677067,6356,0,0,0,0,621280,248590,10562,0,0,238028,372690,126042,69835,0,0,10,49600,0,0,192,6405,476,111,111,0,0,0,1,0,8,356,0,0,246172,0,0,0,55787,55710,0,77,0,0
6,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,138438,239,0,0,0,0,76979,56626,6905,0,0,49721,20353,20130,18919,0,21,3,33,28,0,460,666,147,6,6,0,0,4,3,1,20,107,6,0,76,0,0,0,61459,61395,2,62,0,0
7,1820,"АО ""ГУТА-Страхование""",Москва,231,0,0,0,0,0,228,222,0,0,0,222,6,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0
8,1412,"АО ""Д2 Страхование""",Новосибирск,1621,241,0,0,0,0,1621,1494,520,0,0,974,127,83,8,0,0,0,0,0,0,1,74,1,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0
9,4009,"АО ""ЕРВ Туристическое Страхование""",Москва,23798,0,0,0,0,0,23798,21466,1,0,0,21465,2332,7,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,17,0,2308,0,0,0,0,0,0,0,0,0
10,1427,"АО ""МАКС""",Москва,338866,0,0,0,0,0,292416,278712,1090,0,0,277622,13704,13613,12904,279,0,0,3,4,4,339,84,34,9,9,0,0,0,0,0,2,23,0,0,57,235,235,0,46215,46097,0,118,0,0
11,2346,"АО ""ОСК""",Самара,22807,122,0,0,0,0,10522,5717,562,0,0,5155,4805,4727,4474,0,0,36,4,0,0,56,157,63,3,3,0,0,0,0,0,0,60,0,1,14,0,0,0,12285,12280,0,5,0,0
