"Сведения о вознаграждении посредникам (кроме договоров страхования, заключенных путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,159053468.40693006,22600752.30628,20624349.505830005,17847074.68542,430498.65867000003,14355088.058279999,2728219.82607,282727.72599999997,50540.416399999995,2777274.82041,15304.002620000001,235032.66399,2415270.36676,23162.11968,88505.66736,1976402.8004500002,1453965.5079,1089099.82014,64153.08468,219978.39822,80578.81947,155.38539,522437.29255,9194.60895,0,482448.38528999995,11076.21831,19718.079999999998,66281.39143999999,366.62853,65914.76291,59846804.75265001,23860951.49020999,13894.03712,13.57142,35985853.26244002,71808665.18319003,56294197.65101002,32024039.4575,70923.76032,216150.2672,591820.4805499999,3205751.701129998,497366.32923999993,441976.1504899999,5189242.49207,14498903.163000003,3988486.2014,603249.2383500001,223.10332,24728.861409999998,360947.54723,46019.637480000005,224678.63487999997,2566713.697240001,161925.48148999995,529000.9881199999,10996980.342659997,0,4628565.46826,60874.492610000016,41524.8125,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",9258181.841939999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3679178.16554,3014200.80952,0,0,664977.35602,4942481.43739,4089170.90774,1761933.61945,5710.3731,4707.54712,22080.81879,40477.68415,114042.25212,107387.28885,144128.50696,1996090.10605,139280.13509,5930.32662,0,488.2879,10703.82265,3100.20381,4338.55687,113930.1582,788.77904,2567.38952,711463.00504,,626838.24893,7370.53396,2313.45612,
0141,"Страховое Акционерное Общество ""Медэкспресс""",33196.24069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,32060.0513,1169.47014,0,0,30890.58116,1021.99797,997.78943,653.33913,0,0,0,0,0,0,230.6393,113.811,24.20854,0,0,0,0,0,0,24.20854,0,0,0,,114.19142,0,0,
0191,"Акционерное общество ""Тинькофф Страхование""",720845.36664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,152583.28538,152583.28538,0,0,0,568262.08126,537734.46555,506126.98467,0,0,0,0,0,0,0,31607.48088,402.37307,387.42317,0,0,0,0,0,14.9499,0,0,30125.24264,,0,0,0,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",58016.09695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,43944.51855,2485.9679,0,0,41458.55065,14071.5784,11482.73282,2973.60499,0,0,0,96.13574,0,0,4943.8153,3469.17679,2462.23558,0,0,1.99914,0,0,148.23885,1045.09759,1266.9,0,126.61,,0,0,0,
0212,"Акционерное общество Страховая компания ""Турикум""",33507.40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,33507.40016,20744.86783,0,0,0,0,10911.50511,0,0,9833.36272,0,7841.27771,0,0,0,0,0,4079.58715,3761.69056,0,4162.38961,758.86501,,0,0,0,
0290,"Акционерное общество ""Зетта Страхование""",100879.88144000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12769.49631,11542.03733,151.31896,0,1227.45898,87869.43656,66850.68415,10730.6042,15.07625,0,0,14939.46612,131.61359,0,29622.84586,11411.07813,18890.09948,41.32223,0,0,0,1147.44602,2718.56912,14834.51402,148.24809,69.70729,2058.94564,,0,175.12711,65.82146,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",5075.60867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3498.36816,0,0,0,3498.36816,1577.24051,0,0,0,0,0,0,0,0,0,0,15.493,0,0,0,0,0,0,0,15.493,0,1561.74751,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",219131.57246000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,46964.76615,33511.17091,0,0,13453.59524,140629.34966,121359.63348,53459.5124,0,0,0,8312.53873,0,0,54326.04021,5261.54214,14618.59772,18.811,0,12.9719,760.0075,0,81.4425,13635.65482,109.71,0,4651.11846,,31537.45665,0,0,
