"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Дата составления отчета: 17.05.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег. №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,
Итого,,69698992.74971002,13878448.818659997,30040.1952,25396427.881110016,21803721.637680013,6594.61571,2.1,3592706.2434300003,28328535.314289995,22740786.35629999,11811094.1652,40987.35863999999,237286.02445000003,116432.77534,790972.7957099999,113839.31053,90183.81469999999,2337561.1399,7292612.786530001,1268268.3644699997,213657.16503999996,103.786,13794.19716,54657.35248,21627.818010000003,74687.27938000002,706717.6763300002,183023.09007,341054.1438,3978426.449719999,0,2018228.5192600002,35943.03303,11368.988159999997
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",4625588.23319,0,0,2354319.29385,1887196.50627,47.51568,0,467122.78758,2085621.8871,1794508.5693,495684.73209,1710.02199,653.39991,6125.45937,25364.7529,9669.27442,6993.05146,53488.23041,1201812.69821,62669.73445,5084.3415,0,239.3747,5876.55946,11675.25898,390.3461,39264.20681,139.6469,218.62513,228224.95822,,179897.1256,5246.7337,503.19294
0141,"Страховое Акционерное Общество ""Медэкспресс""",22846.32475,0,0,21775.69109,1432.30258,0,0,20343.38851,965.98214,396.77683,2.6448,0,0,0,0,0,0,347.05258,47.07945,569.20531,529.10025,0,0,0,0,0,40.10506,0,0,0,,104.65152,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",400344.84803999995,0,0,35656.02225,35656.02225,0,0,0,364687.92642,348146.56712,303183.20511,0,0,0,0,0,0,0,44963.36201,184.00078,162.23458,0,0,0,0,0,21.7662,0,0,16357.35852,,0.89937,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",6083.91748,0,0,3731.39099,1115.63866,0,0,2615.75233,2352.52649,1959.37887,155.65072,0,0,0,3.88383,0,0,1010.21475,789.62957,393.14762,0,0,0,0,0,49.38,343.76762,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",18452.24413,0,0,0,0,0,0,0,18452.24413,11142.88063,0,0,0,0,7495.47356,0,0,3647.40707,0,3544.8785,0,0,0,0,0,859.35327,2685.52523,0,1287.42484,2477.06016,,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",92576.92093999998,0,0,9877.63896,9646.85945,265.4706,0,230.77951,82481.67975,25079.27466,0,139.50288,0,0,6820.56111,0,0,15868.37912,2250.83155,13171.86396,0,0,0,0,70.875,2216.93568,10884.05328,0,2756.55777,41473.98336,,0,185.42545,32.17678
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",2860.7777,0,0,2755.426,0,0,0,2755.426,105.3517,20.93825,0,0,0,0,20.93825,0,0,0,0,24.31914,0,0,0,0,0,0,0.4,23.91914,0,60.09431,,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",120042.73417,0,0,32499.40335,27724.67065,0,0,4774.7327,74356.60411,71546.8982,20704.60373,0,0,9,169.98929,7.3554,7.3554,46274.5022,4381.44758,1846.73008,453.56467,0,14.83325,71.71961,22.5,40.625,1243.48755,0,0,962.97583,,13186.72671,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",4838.407029999999,0,0,586.86587,586.86587,0,0,0,4251.54116,1896.34123,0,0,0,646.94313,745.17122,0,0,258.71366,245.51322,2314.63661,0,0,0,2180.41271,0,0,134.2239,0,0,40.56332,,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",74.22,0,0,74.22,0,0,0,74.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",2531.89039,0,0,185.69365,123.45136,0,0,62.24229,364.01697,363.14097,342.15117,0,0,0,0,0,0,0,20.9898,0.876,0,0,0,0,0,0,0.876,0,0,0,,1976.88377,5.296,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",18430.99741,0,0,3115.91945,1043.48346,0,0,2072.43599,15315.07796,14499.75618,11106.61852,0,0,0,1381.59711,0,0,1024.07937,987.46118,616.86277,148.32692,0,0,0,0,0,437.41085,31.125,0,198.45901,,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",20274.29575,0,0,6827.90847,6676.69255,0,0,151.21592,7577.11592,7548.08325,3393.08149,0,0,0,27.2847,123.2816,0,553.97435,3450.46111,29.03267,9.4284,0,0,0,0,0,19.60427,0,0,0,,5869.27136,0,0
0621,"Страховое акционерное общество ""ВСК""",5012994.60472,0,0,1373329.44191,990541.90933,5.491,0,382787.53258,3539600.91907,3204858.70625,1333922.25094,1536.74512,25210.52092,12616.24463,99024.91893,4415.59775,1341.65951,193428.63721,1534703.79075,59501.0893,14278.23228,0,438.47813,8245.223,1677.78657,733.72941,34125.76491,1.875,2545.12998,272695.99354,,94992.80377,4069.64861,1001.79136
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",139864.31656000004,0,0,26095.45951,15203.30579,0,0,10892.15372,92672.85295,88243.05715,67204.84963,117.83628,0,0,12611.84593,0,0,3673.35773,4635.16758,1946.44489,116.5644,0,0,0,0,6.1,357.24049,1466.54,0,2483.35091,,20642.37323,241.25361,212.37726
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",137795.1616,0,0,125795.17121,115132.61793,0,0,10662.55328,11999.99039,8794.70701,0,0,0,0,11.62047,0,0,2475.51785,6307.56869,2258.39515,0,0,0,0,3.84637,0,2254.54878,0,0,946.88823,,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",409189.50991,0,0,111993.08769,99576.13671,0,0,12416.95098,296403.47307,277260.53406,11464.64809,28.60796,650.40938,240.47281,146999.19662,0,0,71786.2487,46090.9505,9557.80815,338.35039,0,56.45261,337.18941,55.18678,822.35617,7869.87279,78.4,37.27532,9547.85554,,554.44293,164.932,73.57422
0928,"Страховое публичное акционерное общество ""Ингосстрах""",3515226.12024,0,0,608437.22672,440554.86795,2.9115,0,167882.35877,2651757.84137,2250088.97192,1721996.67853,402.87246,12784.60926,43316.4937,63532.85721,80.33465,0,141350.41804,266624.70807,103018.95713,22934.17104,0,1280.4163,20726.49369,48.555,7485.54154,50079.68677,464.09279,571.72216,298078.19016,,247498.81668,5518.02523,2014.21024
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",375648.59793999995,0,0,57814.57517,45402.06005,0,0,12412.51512,301457.7674,266999.05734,197838.00738,51.436,0,0,4540.1507,690.41681,0,17139.92838,46739.11807,28511.31798,12505.9788,0,0,0,82.07517,242.26578,14960.75818,720.24005,30.48713,5916.90495,,15170.04816,691.54607,514.66114
