Сведения о выплатах в разрезе страховщиков,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 12.08.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период:  январь-июнь 2019,,,,,,,,,,,,,,,,,,,,,,,,,,тыс. руб.,,,,,,,,,,,,,,,,,,,,,,
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование ,,,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,,
,,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,,
,,,,,,,,из него,,,личное страхование,,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,,
,,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,,страхование жизни,,,,гражданской ,гражданской ,,
,,,,,,,,,,,,,"пациентов, участвующих ",,,,,,,,,,,из него,,,,,      из него:,,,,,,,,,,,, и здоровья ,иные виды обязательного ,,гражданской ,ответственности ,ответственности ,иные виды обязательного ,
№ п\п,Рег №,Наименование,Город,Всего*,из них страхование ,,страхование жизни ,страхование жизни,,,,,в клинических ,,,,,,,,,,,,,,,,владельцев ,,,,,,,,,,,,военнослужащих и,"личного страхования, ",,ответственности ,владельца опасного ,перевозчика за ,имущественного ,Инвестиционное
,,,,,нерезидентов,Всего,(кроме пенсионного ,заемщика,пенсионное страхование,Всего,Всего,от несчастных случаев и ,исследованиях ,работников налоговых ,,Всего,,средств наземного ,,,,,,"страхование, ",,,,владельцев средств ,автотранспортных ,владельцев ,владельцев средств ,,,"организаций, ",за причинение вреда ,,за неисполнение или ,страхование ,страхование финансовых ,Всего,приравненных к ним,предусмотренные ,Всего,владельцев,объекта за причинение ,"причинение вреда жизни, ","страхования, ",страхование
,,,,,,,страхования)-всего,,,,,болезней,лекарственного,органов,медицинское страхование,,Всего,транспорта ,средств ,средств воздушного ,средств водного ,грузов,сельскохозяйственное,осуществляемое с ,прочего имущества ,прочего имущества ,Всего,наземного транспорта ,средств (кроме ,автотранспортных ,железнодорожного ,владельцев средств ,владельцев средств ,эксплуатирующих ,вследствие недостатков ,за причинение вреда ,ненадлежащее ,предпринимательских ,рисков,,в обязательном ,федеральными законами,, транспортных средств,вреда в результате ,"здоровью, имуществу ",предусмотренные ,жизни
,,,,,,,,,,,,,препарата для ,,,,,(кроме средств ,железнодорожного ,транспорта,транспорта,,страхование - всего,государственной ,юридических лиц,граждан,,(кроме средств ,"страхования, ","средств (страхование, ",транспорта,воздушного транспорта,водного транспорта,опасные объекты,"товаров, работ, услуг",третьим лицам,по договору,рисков,,,государственном ,,,,аварии на опасном ,пассажиров,федеральными законами,
,,,,,,,,,,,,,медицинского ,,,,,железнодорожного ,транспорта,,,,,поддержкой,,,,железнодорожного ,осуществляемого в,осуществляемое в ,,,,,,,,,,,страховании лиц,,,,объекте,,,
,,,,,,,,,,,,,применения,,,,,транспорта),,,,,,,,,,транспорта),рамках международной ,рамках международной ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,системы страхования ,системы страхования ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,«Зеленая карта»),«Зеленая карта»),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
,,ИТОГО:,,285593959.53955,2653956.62016,51457960.48395,50969589.76567,4367520.66626,488370.71828,155018640.69541,66886106.08272,8672379.4468,13059.0558,6810.81124,58213726.63592,88132534.61269,79641198.99707,46021113.41579,353926.26782,2870738.83109,867439.56295,6631555.73716,1221357.70251,149317.59807,17543009.80725,4132057.6725,4246969.18865,1421181.18343,1122912.43078,298268.75265,117397.30755,310698.27389,513128.00233,95216.06963,212912.34066,801174.56613,775261.44503,2152846.78064,2091519.64633,6769694.97601,6769694.97601,-,71879891.97449,71340798.6933,159680.44051,379412.84068,-,25766191.14498
1,4013,"ООО ""МАКС-Жизнь""",Москва,73229.69046,-,73229.69046,73229.69046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66990.28653
2,0326,"ООО СК ""Орбита""",Москва,19425.00967,34.47616,-,-,-,-,19425.00967,2802.62964,1573.05348,-,-,1229.57616,16622.38003,3566.45699,2305.45699,-,-,-,-,-,-,-,1261,12892.66401,-,-,-,-,-,-,-,-,-,12892.66401,-,163.25903,-,-,-,-,-,-,-,-,-
3,1643,"ООО СПК ""Юнити Ре""",Москва,99047.91552,-,-,-,-,-,99047.91552,99047.91552,-,-,-,99047.91552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,1964952.66722,-,1874964.65182,1874964.65182,-,-,89988.0154,89988.0154,72397.49773,-,-,17590.51767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75289.87948
5,3438,"ООО ""ПРОМИНСТРАХ""",Москва,344960.00499,-,-,-,-,-,313767.18076,395.05392,380.65492,-,-,14.399,313372.12684,1213.46126,996.43663,-,-,-,134.03418,-,-,37.85145,45.139,312143.21022,-,-,-,-,-,-,-,-,1862.07215,310281.13807,15.45536,-,-,-,-,36856.88348,34845.88348,-,2011,-,-
6,2071,"АО ""ГСМК""",Санкт-Петербург,5735.58587,75.493,-,-,-,-,5735.58587,5735.58587,-,-,-,5735.58587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,3879,"ООО СК ""Росгосстрах Жизнь""",Москва,284604.10636,6540.73936,136010.76081,136010.76081,-,-,148593.34555,148593.34555,137100.55804,-,-,11492.78751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,1412,"АО ""Д2  Страхование""",Новосибирск,6519.11358,40.32116,-,-,-,-,6413.63699,5479.37654,4457.55588,-,-,1021.82066,934.26045,798.87795,-,-,-,-,-,-,-,191.1237,607.75425,77.41,-,-,-,-,-,-,-,-,77.41,-,-,57.9725,-,-,-,90.07015,90.07015,-,-,-,-
9,1623,"ООО СК ""Тюмень-Полис""",Тюмень,15598.33633,-,-,-,-,-,15598.33633,9654.68905,9654.68905,-,-,-,5943.64728,5943.64728,3531.01117,-,-,-,-,-,-,1311.70506,1100.93105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,4354,НКО ПОВС «ВЗАИМОПОМОЩЬ»,Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1307,"ООО ""СК ""Согласие""",Москва,11932260.57673,149909.18396,-,-,-,-,10188546.2875,1178874.14025,224608.36332,-,-,954265.77693,9009672.14725,8728623.93749,3684513.564,14282.50526,179.1692,51391.57231,24565.90656,29676.00617,605.5283,4867603.98161,56411.23238,264208.16706,167738.74019,90445.08965,77293.65054,55752.29377,143.151,17021.01992,-,-,22972.21543,580.74675,2737.55991,14102.48279,-,-,-,1788376.52693,1760204.77304,5611.09389,22560.66,-,-
12,4301,НКО НОВС,Камышин,573.38841,-,-,-,-,-,573.38841,-,-,-,-,-,573.38841,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,573.38841,-,-,-,-,-,-,-,-,-
13,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,163538.7165,33435.586,-,-,-,-,163538.7165,163538.7165,-,-,-,163538.7165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,1867,"ООО СК ""Коместра-Томь""",Томск,33590.2793,-,-,-,-,-,33590.2793,12476.25096,3739.57,-,-,8736.68096,21114.02834,20521.99054,18306.51521,-,-,-,-,-,-,435.681,1779.79433,592.0378,-,-,-,-,-,-,-,-,592.0378,-,-,-,-,-,-,-,-,-,-,-,-
15,0983,"АО ""Страховая группа ""УралСиб""",Москва,29612.56929,-,-,-,-,-,29540.56354,18404.86854,9575.10958,-,-,8829.75896,11135.695,5488.90841,560,-,-,-,1658.24283,-,-,3211.27983,59.38575,5646.78659,-,-,-,-,-,-,-,-,2353.51865,3293.26794,-,-,72.00575,72.00575,-,-,-,-,-,-,-
16,0278,"АО СК ""АСКОМЕД""",Самара,16687.65533,-,-,-,-,-,16687.65533,16687.65533,-,-,-,16687.65533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,3803,"ООО ""СК Доминанта""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
