"Сведения о выплатах по договорам,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
принятым в перестрахование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 26.02.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: Январь-Декабрь 2018 г.,,,,,,,,,,,,,,,,,,,,,,,,тыс. руб.,,,,,,,,,,,,,,,,,,,,,,
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование ,,,,,,,
,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,
,,,,,,,из него,,,личное страхование (кроме страхования жизни),,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,
,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,,страхование жизни,,,,гражданской ,гражданской ,
,,,,,,,,,,,,"пациентов, участвующих ",,,,,,,,,,,из него,,,,,      из него:,,,,,,,,,,,, и здоровья ,иные виды обязательного ,,гражданской ,ответственности ,ответственности ,иные виды обязательного 
№ п\п,Рег №,Наименование,Город,Всего,,страхование жизни ,страхование жизни,,,,,в клинических ,,,,,,,,,,,,,,,,владельцев ,,,,,,,,,,,,военнослужащих и,"личного страхования, ",,ответственности ,владельца опасного ,перевозчика за ,имущественного 
,,,,,Всего,(кроме пенсионного ,заемщика,пенсионное страхование,Всего,Всего,от несчастных случаев и ,исследованиях ,работников налоговых ,,Всего,,средств наземного ,,,,,,"страхование, ",,,,владельцев средств ,автотранспортных ,владельцев ,владельцев средств ,,,"организаций, ",за причинение вреда ,,за неисполнение или ,страхование ,страхование финансовых ,Всего,приравненных к ним,предусмотренные ,Всего,владельцев,объекта за причинение ,"причинение вреда жизни, ","страхования, "
,,,,,,страхования)-всего,,,,,болезней,лекарственного,органов,медицинское страхование,,Всего,транспорта ,средств ,средств воздушного ,средств водного ,грузов,сельскохозяйственное,осуществляемое с ,прочего имущества ,прочего имущества ,Всего,наземного транспорта ,средств (кроме ,автотранспортных ,железнодорожного ,владельцев средств ,владельцев средств ,эксплуатирующих ,вследствие недостатков ,за причинение вреда ,ненадлежащее ,предпринимательских ,рисков,,в обязательном ,федеральными законами,, транспортных средств,вреда в результате ,"здоровью, имуществу ",предусмотренные 
,,,,,,,,,,,,препарата для ,,,,,(кроме средств ,железнодорожного ,транспорта,транспорта,,страхование - всего,государственной ,юридических лиц,граждан,,(кроме средств ,"страхования, ","средств (страхование, ",транспорта,воздушного транспорта,водного транспорта,опасные объекты,"товаров, работ, услуг",третьим лицам,по договору,рисков,,,государственном ,,,,аварии на опасном ,пассажиров,федеральными законами
,,,,,,,,,,,,медицинского ,,,,,железнодорожного ,транспорта,,,,,поддержкой,,,,железнодорожного ,осуществляемого в,осуществляемое в ,,,,,,,,,,,страховании лиц,,,,объекте,,
,,,,,,,,,,,,применения,,,,,транспорта),,,,,,,,,,транспорта),рамках международной ,рамках международной ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,системы страхования ,системы страхования ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«Зеленая карта»),«Зеленая карта»),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,ИТОГО:,,21420794.91458,0,0,0,0,20592162.64297,885253.3773,418691.87961,0,0,466561.49769,19706909.26567,17246624.36315,781641.76698,53134.47219,1492290.06411,383068.28975,215792.19352,162668.93377,85.36527,14110966.90605,47061.73678,1116084.09604,242156.40488,197436.54245,2414.01832,0,94351.0676,1235.42943,4.5677,52355.93549,713842.19417,12138.49677,997690.44356,346510.36292,0,0,0,828632.27161,0,726580.6865,102051.58511,0
1,0212,"АО  ""Цюрих надежное страхование""",Москва,547.49639,-,-,-,-,547.49639,-,-,-,-,-,547.49639,547.49639,-,-,-,-,-,-,-,547.49639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,3947,"АО ""АИГ""",Москва,822536.80424,-,-,-,-,822536.80424,-,-,-,-,-,822536.80424,396902.92819,-,-,-,-,34829.15633,-,-,362073.77186,-,233694.67462,-,-,-,-,-,-,-,-,233694.67462,-,-,191939.20143,-,-,-,-,-,-,-,-
3,2239,"АО ""АльфаСтрахование""",Москва,838661.73941,-,-,-,-,787599.80232,63539.79613,63508.07529,-,-,31.72084,724060.00619,610665.41703,-,327.99621,345247.08745,-,119.28238,-,-,264971.05099,-,104435.27764,-,-,-,-,48861.01133,-,-,-,55574.26631,-,7799.02549,1160.28603,-,-,-,51061.93709,-,49533.96908,1527.96801,-
4,1284,"АО ""Группа Ренессанс Страхование""",Москва,17896.22528,-,-,-,-,9968.16726,8072.7466,8072.7466,-,-,-,1895.42066,446.83214,-,-,-,-,95.67723,-,-,351.15491,-,1306.90996,-,-,-,-,-,-,-,-,1306.90996,-,-,141.67856,-,-,-,7928.05802,-,6939.5915,988.46652,-
5,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,7280.77327,-,-,-,-,1612.48912,4.64541,4.64541,-,-,-,1607.84371,1607.84371,-,-,771.98009,-,-,-,-,835.86362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5668.28415,-,5321.08181,347.20234,-
6,1820,"АО ""ГУТА-Страхование""",Москва,8573.11851,-,-,-,-,8415.49498,0.47426,0.47426,-,-,-,8415.02072,2780.81241,-,-,-,572.062,-,-,-,2208.75041,-,5634.20831,-,-,-,-,-,-,-,-,-,5634.20831,-,-,-,-,-,157.62353,-,157.62353,-,-
7,1427,"АО ""МАКС""",Москва,74488.92209,-,-,-,-,51420.55205,-,-,-,-,-,51420.55205,51420.55205,942.86991,-,641.95207,-,119.28242,-,-,49716.44765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23068.37004,-,21623.89936,1444.47068,-
8,3116,"АО ""НАСКО""",Казань,23267.39014,-,-,-,-,16666.69633,1079.1,1079.1,-,-,-,15587.59633,13360.85208,5365.25779,-,882.57328,-,3.93299,-,-,6722.90566,386.18236,416.99345,-,-,-,-,-,-,-,-,416.99345,-,-,1809.7508,-,-,-,6600.69381,-,6282.19903,318.49478,-
9,2346,"АО ""ОСК""",Самара,67234.72833,-,-,-,-,64019.46579,8718.73518,8718.73518,-,-,-,55300.73061,52287.96274,35126.86345,-,1238.24134,-,63.36441,-,-,12051.19717,3808.29637,200.25047,93.11158,-,-,-,6.10294,20.41667,-,45.65403,34.96525,-,-,2812.5174,-,-,-,3215.26254,-,2985.4354,229.82714,-
10,0235,"АО ""Русское перестраховочное общество""",Москва,536279.7045,-,-,-,-,536279.7045,1229.95279,1229.95279,-,-,-,535049.75171,533968.56544,43509.2169,-,-,66.60851,2803.94748,6619.56632,-,477338.53501,3630.69122,1081.18627,-,-,-,-,-,-,-,-,1081.18627,-,-,-,-,-,-,-,-,-,-,-
11,0915,"АО ""СК ""ПАРИ""",Москва,19512.46021,-,-,-,-,9592.95953,1338.91886,1338.91886,-,-,-,8254.04067,8241.69513,3236.04559,-,84.56545,-,57.10204,-,-,3632.4785,1231.50355,12.34554,-,-,-,-,-,-,-,-,12.34554,-,-,-,-,-,-,9919.50068,-,9466.37253,453.12815,-
12,1208,"АО ""СОГАЗ""",Москва,4666170.06527,-,-,-,-,4548988.18965,148988.81169,148988.81169,-,-,-,4399999.37796,4148112.26045,10102.23282,-,398354.05466,165976.9461,24991.16524,135857.72503,-,3412771.36534,58.77126,155392.57195,152448.12118,152448.12118,-,-,2139.10223,-,-,-,804.60924,0.7393,39222.24041,57272.30515,-,-,-,117181.87562,-,112818.28436,4363.59126,-
13,3229,"АО ""Страховая бизнес группа""",Воронеж,10985.00383,-,-,-,-,6064.4838,-,-,-,-,-,6064.4838,6064.4838,5978.92009,-,77.8932,-,7.67051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4920.52003,-,4618.31574,302.20429,-
14,0983,"АО ""Страховая группа ""УралСиб""",Москва,4838.13772,-,-,-,-,4838.13772,152.16973,152.16973,-,-,-,4685.96799,2291.5252,4.96155,-,-,-,-,-,-,2286.56365,-,2394.44279,-,-,-,-,-,-,-,-,2394.44279,-,-,-,-,-,-,-,-,-,-,-
15,4351,АО РНПК,Москва,3889157.98205,-,-,-,-,3889157.98205,164988.11523,21947.95185,-,-,143040.16338,3724169.86682,3691513.47412,361512.9589,3383.43392,230528.55687,25342.31398,42053.82782,462.99839,85.36527,3019198.67881,9030.70543,18422.16183,-,-,-,-,13349.1844,-,-,53.2855,1567.57249,3452.11944,-,14234.23087,-,-,-,-,-,-,-,-
16,3300,"АО СГ ""Спасские ворота""",Салехард,5071.16594,-,-,-,-,122.3976,121.73578,121.73578,-,-,-,0.66182,0.66182,-,-,-,-,-,-,-,-,0.66182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4948.76834,-,4766.60451,182.16383,-
