"Сведения о страховых премиях по договорам,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
принятым в перестрахование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 23.05.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2019 г. ,,,,,,,,,,,,,,,,,,,,,,,,тыс. руб.,,,,,,,,,,,,,,,,,,,,,,
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование ,,,,,,,
,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,
,,,,,,,из него,,,личное страхование (кроме страхования жизни),,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,
,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,,страхование жизни,,,,гражданской ,гражданской ,
,,,,,,,,,,,,"пациентов, участвующих ",,,,,,,,,,,из него,,,,,      из него:,,,,,,,,,,,, и здоровья ,иные виды обязательного ,,гражданской ,ответственности ,ответственности ,иные виды обязательного 
№ п\п,Рег №,Наименование,Город,Всего,,страхование жизни ,страхование жизни,,,,,в клинических ,,,,,,,,,,,,,,,,владельцев ,,,,,,,,,,,,военнослужащих и,"личного страхования, ",,ответственности ,владельца опасного ,перевозчика за ,имущественного 
,,,,,Всего,(кроме пенсионного ,заемщика,пенсионное страхование,Всего,Всего,от несчастных случаев и ,исследованиях ,работников налоговых ,,Всего,,средств наземного ,,,,,,"страхование, ",,,,владельцев средств ,автотранспортных ,владельцев ,владельцев средств ,,,"организаций, ",за причинение вреда ,,за неисполнение или ,страхование ,страхование финансовых ,Всего,приравненных к ним,предусмотренные ,Всего,владельцев,объекта за причинение ,"причинение вреда жизни, ","страхования, "
,,,,,,страхования)-всего,,,,,болезней,лекарственного,органов,медицинское страхование,,Всего,транспорта ,средств ,средств воздушного ,средств водного ,грузов,сельскохозяйственное,осуществляемое с ,прочего имущества ,прочего имущества ,Всего,наземного транспорта ,средств (кроме ,автотранспортных ,железнодорожного ,владельцев средств ,владельцев средств ,эксплуатирующих ,вследствие недостатков ,за причинение вреда ,ненадлежащее ,предпринимательских ,рисков,,в обязательном ,федеральными законами,, транспортных средств,вреда в результате ,"здоровью, имуществу ",предусмотренные 
,,,,,,,,,,,,препарата для ,,,,,(кроме средств ,железнодорожного ,транспорта,транспорта,,страхование - всего,государственной ,юридических лиц,граждан,,(кроме средств ,"страхования, ","средств (страхование, ",транспорта,воздушного транспорта,водного транспорта,опасные объекты,"товаров, работ, услуг",третьим лицам,по договору,рисков,,,государственном ,,,,аварии на опасном ,пассажиров,федеральными законами
,,,,,,,,,,,,медицинского ,,,,,железнодорожного ,транспорта,,,,,поддержкой,,,,железнодорожного ,осуществляемого в,осуществляемое в ,,,,,,,,,,,страховании лиц,,,,объекте,,
,,,,,,,,,,,,применения,,,,,транспорта),,,,,,,,,,транспорта),рамках международной ,рамках международной ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,системы страхования ,системы страхования ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«Зеленая карта»),«Зеленая карта»),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,ИТОГО:,,14760262.6486,0,0,0,0,13603603.22849,211332.39239,148267.59132,0,0,63064.80107,13392270.8361,10785799.2505,420991.14009,9167.91968,742059.94121,244218.38682,607823.82277,78130.44134,1138.65765,8635059.87519,48347.7234,1271665.85107,22824.7297,7193.81436,9048.40671,-0.00806,473165.05934,69667.2353,14336.08937,150631.85357,546530.20611,-5489.31426,692510.3455,642295.38903,0,0,0,1156659.42011,5.4,309524.5309,847129.48921,0
1,0212,"АО  ""Цюрих надежное страхование""",Москва,4523.34807,-,-,-,-,4523.34807,-,-,-,-,-,4523.34807,1557.36572,-,-,-,-,-,-,-,1557.36572,-,2813.5593,-,-,-,-,-,-,-,-,-,2813.5593,152.42305,-,-,-,-,-,-,-,-,-
2,3947,"АО ""АИГ""",Москва,344524.3327,-,-,-,-,342759.06263,-,-,-,-,-,342759.06263,95539.9405,-,-,-,-,21796.1298,-,-,73743.8107,-,184767.64798,374.64513,374.64513,-,-,-,-,-,-,184393.00285,-,-,62451.47415,-,-,-,1765.27007,-,-,1765.27007,-
3,2239,"АО ""АльфаСтрахование""",Москва,778351.99296,-,-,-,-,718830.91361,936.91158,936.91158,-,-,-,717894.00203,541335.40327,-,128.70601,117320.37694,2939.74979,-147.81144,-,-,421094.38197,-,56536.9099,442.84589,-,442.84589,-,42016.10557,-,-,214.45838,13555.41256,308.0875,120023.84693,-2.15807,-,-,-,59521.07935,-,12428.63357,47092.44578,-
4,1284,"АО ""Группа Ренессанс Страхование""",Москва,82620.3871,-,-,-,-,1108.74505,-13.23103,-13.23103,-,-,-,1121.97608,975.20546,-,-,-,151.3983,590.48593,-,-,233.13269,0.18854,145.63017,-,-,-,-,-,-,-,-,145.63017,-,-,1.14045,-,-,-,81511.64205,-,20789.357,60722.28505,-
5,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,10333.86901,-,-,-,-,204.47537,236.91256,236.91256,-,-,-,-32.43719,-32.43719,-10.15266,-,-,-,-,-,-,-22.28453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10129.39364,-,2155.90846,7973.48518,-
6,1820,"АО ""ГУТА-Страхование""",Москва,12886.60041,-,-,-,-,12886.60041,-,-,-,-,-,12886.60041,12886.60041,-,-,-,-,-,-,-,12886.60041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1427,"АО ""МАКС""",Москва,41269.7187,-,-,-,-,20444.19297,11837.4704,11837.4704,-,-,-,8606.72257,7583.42827,80.57534,-,1248.19792,30,4073.78388,-,-,2150.87113,-,1023.2943,0.568,0.568,-,-,205.87676,-,614.24067,202.60887,-,-,-,-,-,-,-,20825.52573,-,4318.23005,16507.29568,-
8,3116,"АО ""НАСКО""",Казань,6014.53447,-,-,-,-,1060.01091,-,-,-,-,-,1060.01091,642.30532,7.46066,-,348.79106,-,0.02517,-,-,286.02843,-,417.70559,-,-,-,-,-,-,-,288.48659,129.219,-,-,-,-,-,-,4954.52356,-,1013.81276,3940.7108,-
9,2346,"АО ""ОСК""",Самара,18311.47488,-,-,-,-,14919.46223,3288.43615,3288.43615,-,-,-,11631.02608,10445.71286,4249.90828,-,1382.83947,159.79482,1320.63628,-,-,2810.36325,522.17076,1115.1111,3.9485,-,-,-,5.23816,61.6655,-,62.41234,981.8466,-,-,70.20212,-,-,-,3392.01265,-,747.03779,2644.97486,-
10,0235,"АО ""Русское перестраховочное общество""",Москва,674183.75869,-,-,-,-,674183.75869,2826.02083,2826.02083,-,-,-,671357.73786,668528.2491,11183.50869,313.47839,-,-,4119.26008,1197.8248,-,639192.71188,12521.46526,2829.48876,390.46922,390.46922,-,-,-,-,264.10676,70.43641,2104.47637,-,-,-,-,-,-,-,-,-,-,-
11,0915,"АО ""СК ""ПАРИ""",Москва,27745.60919,-,-,-,-,13969.12756,1094.10403,1094.10403,-,-,-,12875.02353,12105.21938,4673.16051,-,174.38964,-,3613.34452,-,-,3189.9158,454.40891,747.56879,247.52696,-,-,-,-,-,-,17.51892,482.52291,-,-,22.23536,-,-,-,13776.48163,-,3534.5283,10241.95333,-
12,1208,"АО ""СОГАЗ""",Москва,2433784.57119,-,-,-,-,2333464.24231,29656.85598,29656.85598,-,-,-,2303807.38633,2087073.29315,4808.76307,-,65579.6281,56486.03907,29925.01452,19994.22607,-,1910130.78244,148.83988,105401.25859,269.5904,-,-,-,50506.92694,-,2834.02737,2614.87338,48988.93074,186.90976,95912.37649,15420.4581,-,-,-,100320.32888,-,24779.01429,75541.31459,-
13,3229,"АО ""Страховая бизнес группа""",Воронеж,4622.80907,-,-,-,-,1890.06586,17.29315,17.29315,-,-,-,1872.77271,808.36149,65.93523,-,-,-,299.1185,-,-,443.30776,-,863.57112,258.01886,-,-,-,162.64547,-,-,61.78489,44.83777,336.28413,200.8401,-,-,-,-,2732.74321,-,589.25102,2143.49219,-
14,4351,АО РНПК,Москва,3533213.07639,-,-,-,-,3521832.27565,93862.49097,93673.6757,-,-,188.81527,3427969.78468,2834424.68039,258898.51038,6588.40744,203995.19246,133128.85275,376652.32959,42611.65633,646.3943,1802339.68371,10210.04773,306789.29835,1218.62956,-,-,-0.00806,48603.24002,59138.61365,-,87971.69563,118626.29855,-8769.171,12447.14675,274308.65919,-,-,-,11380.80074,-,-,11380.80074,-
15,3300,"АО СГ ""Спасские ворота""",Салехард,5619.15324,-,-,-,-,59.4444,5.64873,-,-,-,5.64873,53.79567,53.79567,-,-,-,-,-,-,-,53.79567,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5559.70884,-,1444.0005,4115.70834,-
