"Сведения о страховых премиях по договорам, принятым в перестрахование",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 24.08.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период:  январь-июнь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,тыс. руб.,,,,,,,,,,,,,,,,,,,,,
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование ,,,,,,,
,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,
,,,,,,,из него,,,личное страхование (кроме страхования жизни),,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,
,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,,страхование жизни,,,,гражданской ,гражданской ,
,,,,,,,,,,,,"пациентов, участвующих ",,,,,,,,,,,из него,,,,,      из него:,,,,,,,,,,,, и здоровья ,иные виды обязательного ,,гражданской ,ответственности ,ответственности ,иные виды обязательного 
№ п\п,Рег №,Наименование,Город,Всего,,страхование жизни ,страхование жизни,пенсионное,,,,в клинических ,,,,,,,,,,,,,,,,владельцев ,,,,,,,,,,,,военнослужащих и,"личного страхования, ",,ответственности ,владельца опасного ,перевозчика за ,имущественного 
,,,,,Всего,(кроме пенсионного ,заемщика,страхование,Всего,Всего,от несчастных случаев и ,исследованиях ,работников налоговых ,,Всего,,средств наземного ,,,,,,"страхование, ",,,,владельцев средств ,автотранспортных ,владельцев ,владельцев средств ,,,"организаций, ",за причинение вреда ,,за неисполнение или ,страхование ,страхование финансовых ,Всего,приравненных к ним,предусмотренные ,Всего,владельцев,объекта за причинение ,"причинение вреда жизни, ","страхования, "
,,,,,,страхования)-всего,,,,,болезней,лекарственного,органов,медицинское страхование,,Всего,транспорта ,средств ,средств воздушного ,средств водного ,грузов,сельскохозяйственное,осуществляемое с ,прочего имущества ,прочего имущества ,Всего,наземного транспорта ,средств (кроме ,автотранспортных ,железнодорожного ,владельцев средств ,владельцев средств ,эксплуатирующих ,вследствие недостатков ,за причинение вреда ,ненадлежащее ,предпринимательских ,рисков,,в обязательном ,федеральными законами,, транспортных средств,вреда в результате ,"здоровью, имуществу ",предусмотренные 
,,,,,,,,,,,,препарата для ,,,,,(кроме средств ,железнодорожного ,транспорта,транспорта,,страхование - всего,государственной ,юридических лиц,граждан,,(кроме средств ,"страхования, ","средств (страхование, ",транспорта,воздушного транспорта,водного транспорта,опасные объекты,"товаров, работ, услуг",третьим лицам,по договору,рисков,,,государственном ,,,,аварии на опасном ,пассажиров,федеральными законами
,,,,,,,,,,,,медицинского ,,,,,железнодорожного ,транспорта,,,,,поддержкой,,,,железнодорожного ,осуществляемого в,осуществляемое в ,,,,,,,,,,,страховании лиц,,,,объекте,,
,,,,,,,,,,,,применения,,,,,транспорта),,,,,,,,,,транспорта),рамках международной ,рамках международной ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,системы страхования ,системы страхования ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«Зеленая карта»),«Зеленая карта»),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,ИТОГО:,,36480311.07176,-,-,-,-,33938144.697,621024.48652,392737.18852,19565.28,-,228287.298,33317120.21048,27352680.81137,676825.85858,23065.01242,2130789.09061,690618.90365,1570543.93895,681645.2447,47377.39886,21512323.50211,66869.26035,3690901.92472,47409.0663,23649.85468,14480.89924,-,1022524.47623,86951.74775,64692.1779,157735.8969,2292778.5907,18809.96894,1101546.42592,1171991.04847,-,-,-,2542166.37476,45100.12817,1502166.55516,994899.69143,-
1,1675,"""Совкомбанк страхование"" (АО)",Санкт-Петербург,14361.94909,-,-,-,-,5956.88054,161.03396,161.03396,-,-,-,5795.84658,3893.32971,25.2322,-,-,-,89.47733,-,-,3599.68724,178.93294,1902.51687,687.47279,-,687.47279,-,-,-,-,7.5,1207.54408,-,-,-,-,-,-,8405.06855,-,5052.4741,3352.59445,-
2,3947,"АО ""АИГ""",Москва,884124.69057,-,-,-,-,873344.19689,-,-,-,-,-,873344.19689,234301.64641,-,-,-,-,140451.7486,-,-,93849.89781,-,391916.54297,-,-,-,-,-,-,-,-,391916.54297,-,-,247126.00751,-,-,-,10780.49368,-,10780.49368,-,-
3,2239,"АО ""АльфаСтрахование""",Москва,1783298.36249,-,-,-,-,1590196.27858,2661.11425,2661.11425,-,-,-,1587535.16433,1194758.05618,1238.49669,-,131149.55226,18945.25086,3603.93464,100,-,1039687.82173,33,177082.62258,1528.45908,-,1528.45908,-,37199.16864,360.1615,2133.21992,1079.58338,133858.54398,923.48608,215655.87765,38.60792,-,-,-,193102.08391,30576.17445,95309.13149,67216.77797,-
4,1284,"АО ""Группа Ренессанс Страхование""",Москва,174426.21423,-,-,-,-,589.36361,-,-,-,-,-,589.36361,423.5022,-,-,-,-,118.39124,-,-,305.11096,-,134.18323,-,-,-,-,-,-,-,-,134.18323,-,-,31.67818,-,-,-,173836.85062,-,103898.09563,69938.75499,-
5,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,596249.85305,-,-,-,-,550271.27676,3889.80212,2160.59218,-,-,1729.20994,546381.47464,514048.41326,6.34123,-,48327.40091,4164.39306,15843.5,-,-,445706.77806,-,32334.48076,11171.80547,-,11171.80547,-,8925.11938,5377.13141,-,-,6860.4245,-,-,-1.41938,-,-,-,45978.57629,-,26620.92388,19357.65241,-
6,1820,"АО ""ГУТА-Страхование""",Москва,17987.87236,-,-,-,-,17987.87236,-,-,-,-,-,17987.87236,16219.52415,-,-,-,-,-,-,-,16219.52415,-,1768.34821,-,-,-,-,-,-,-,-,1768.34821,-,-,-,-,-,-,-,-,-,-,-
7,1427,"АО ""МАКС""",Москва,154356.66823,-,-,-,-,117996.03625,11846.10737,11846.10737,-,-,-,106149.92888,102616.32649,80,211.66666,4174.5344,500.14218,11991.20112,97.0808,-,85412.8773,148.82403,3533.60239,0.542,-,0.542,-,240.19601,13.40038,1827.40474,473.45688,978.60238,-,-,-,-,-,-,36360.63198,-,21530.02794,14830.60404,-
8,2346,"АО ""ОСК""",Самара,35335.67179,-,-,-,-,28462.84191,2008.36445,2008.36445,-,-,-,26454.47746,24628.11906,12109.35048,1.41666,2758.9282,365.36527,3145.29336,104.63959,-,5452.04584,691.07966,1826.3584,16.17183,-,-,-,803.22689,715.30084,-,4,287.65884,-,-,-,-,-,-,6872.82988,-,3954.46792,2918.36196,-
9,0235,"АО ""Русское перестраховочное общество""",Москва,1336327.22341,-,-,-,-,1336327.22341,5329.72196,5329.72196,-,-,-,1330997.50145,1324263.70295,15037.66898,19.53397,-,-,8186.57914,6385.23028,-,1290846.19641,3788.49417,6733.7985,708.2179,708.2179,-,-,-,-,403.07315,78.70421,5586.05824,-42.255,-,-,-,-,-,-,-,-,-,-
10,0915,"АО ""СК ""ПАРИ""",Москва,58083.26599,-,-,-,-,41957.81517,4091.28715,4091.28715,-,-,-,37866.52802,35105.88578,4974.02452,-22.73815,4701.90088,-,9753.25335,-,-,13219.19887,2480.24631,2734.18508,331.77511,-,-,-,13,13.13,840.78439,188.27052,1299.00588,48.21918,-,26.45716,-,-,-,16125.45082,-,9399.61477,6725.83605,-
