"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.02.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,159208864.12965,0,0,2448013.82878,2194107.19412,-17530.141499999998,0,253906.63466,123104345.3823,101815849.47782001,5744447.94031,102335.29697000001,7819622.161839999,6007217.73311,4241293.26624,5373127.2244000025,4094613.6386800003,72301401.79626,226404.05869,14113397.03315,56609.944640000016,46759.35321000001,772.43562,2173.77033,4532442.563379999,1541172.6267899997,75484.61923999999,2325233.1173,5532097.00508,48183.38639,1294074.8522599998,5881024.019069999,0,29911306.900700003,2152519.02533,1592678.9925399998,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",4486127.4509000005,0,0,2033.1247600000002,167.09498,0,0,1866.02978,1949693.59867,1582780.62382,26.70216,46.857589999999995,62174.95625,36134.44874,77285.07179,493.41967,0,1406103.44472,515.7229,239577.34172,0,0,0,0,2420.85893,717.04003,10492.401600000001,10917.358690000001,214347.85495,681.82752,127335.63313,0,,2135493.54392,221891.76848,177015.41507,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",4505.49129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4505.49129,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",34622.487,0,0,0,0,0,0,0,34622.487,4395.791660000001,0,0,0,0,1970.79365,0,0,2424.99801,0,15880.32636,0,0,0,0,0,0,0,0,15880.32636,0,515.4052300000001,13830.96375,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1350261.27372,0,0,10978.08386,10978.08386,0,0,0,1339283.18986,1330615.10015,69560.69332,0,0,2366.40058,14721.09964,7695.56966,0,1228655.50882,7615.82813,8668.08971,990.50328,990.50328,0,0,0,0,165.31118,81.99446,7413.6407899999995,16.639999999999997,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",207963.02208,0,0,0,0,0,0,0,74223.91719,47661.43056,0,0,0,0,0,0,0,47436.438590000005,224.99197,15424.43168,0,0,0,0,0,0,263.39461,2849.28845,12311.74862,0,91149.95422,-80011.89927,,0,74941.59374,58797.51115,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-732337.03948,0,0,-6789.88999,-6789.88999,0,0,0,-725547.14949,-319116.86274,0,0,-319116.86274,0,0,0,0,0,0,-406430.28674999997,0,0,0,0,-403423.18243,0,0,0,-3007.10432,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",120972.09603,0,0,0,0,0,0,0,0.01867,0.01867,0,0,0,0,0,0,0,0.01867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,120972.07736,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",54610.51577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54610.51577,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",51526.11707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51526.11707,0,0,0
0621,"Страховое акционерное общество ""ВСК""",6759494.17415,0,0,6124.90293,1930.20604,0,0,4194.69689,3695473.25042,2738171.74192,20041.96696,510.14527,473708.1551,133132.01994,73804.19118000001,12466.608959999998,5992.40108,2023202.80994,1305.8445700000002,888263.2056400001,530.4941699999999,278.78862,251.70555,2173.77033,25476.48778,8973.35805,12067.93628,4167.77995,834873.37908,0,39433.87143000001,29604.43143,,2779407.01608,153710.39223,124778.61249,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",4284.19077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4284.19077,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",533.1531600000001,0,0,0,0,0,0,0,533.1531600000001,387.23438999999996,0,0,0,0,4.500640000000001,0,0,382.73375,0,145.91877,0,0,0,0,0,0,137.03394999999998,0,8.88482,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",119199.53079,0,0,4009.91449,4009.91449,0,0,0,57858.10241,54287.63876,10758.540480000001,0,837.8848399999999,0,25260.15961,0,0,12769.291430000001,4661.7624,2759.7046,335.34914,335.34914,0,0,0,0,962.12042,513.60821,883.6268299999999,65,0,810.75905,,30012.55945,15455.93002,11863.02442,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",9207526.93628,0,0,34667.08745,-5476.3625999999995,-17530.141499999998,0,40143.45005,4583222.330800001,3587711.20441,81354.20581,0,745284.4357400001,392501.76226000005,225410.93633,5655.608520000001,226.58237,2137504.25575,0,911351.34552,41737.568340000005,41737.568340000005,0,0,533144.24211,587.9899200000001,12877.10555,17024.86456,305979.57503999997,0,7902.81146,76256.96940999999,,4084588.04229,311793.72245,193255.75329,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",470712.3614,0,0,228.40003000000002,228.40003000000002,0,0,0,12931.807929999999,10645.46788,4144.713229999999,1.17123,0,0,1569.7828,10.40204,0,4821.6898,97.70877999999999,2258.16053,0,0,0,0,0,0,875.03666,21.65,1194.23547,167.2384,16.88804,11.29148,,422327.27614,19729.31457,15495.56273,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-61680.69402,0,0,1070.28333,1070.28333,0,0,0,-62750.97735,18770.16582,2857.2503899999997,0,3533.20051,-1.98298,9412.25724,0,0,1945.1576,1024.28306,-81712.84399,130.70117000000002,130.70117000000002,0,0,-81944.94824,0,0,87.02973,14.37335,0,0,191.70082,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",4968440.657269999,0,0,12902.498230000001,12902.498230000001,0,0,0,2712020.94333,2339169.8124700002,3179.6619299999998,1385.53861,20574.4748,142561.94421000002,230136.99471,-20734.20805,0,1969245.75055,-7180.34429,295110.39598000003,1960,0,0,0,-30474.14582,128.4713,13101.62255,1663.67673,308730.77122,0,73279.69953,4461.03535,,1793821.28281,252122.76507000002,197573.16783,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",6481274.10393,0,0,8559.57664,7118.701749999999,0,0,1440.8748899999998,369745.15855,337387.22167999996,17796.14807,-172.01263,3351.45393,2487.19924,4519.7755099999995,2583.42714,0,276316.6407,30504.58972,17836.75434,782.02915,782.02915,0,0,0,0,11318.698989999999,207.03083,5528.99537,0,13698.54563,822.6369,,5536001.73632,321538.21836999996,245429.41405,0
1216,"Акционерное общество Страховая компания ""Чулпан""",141030.14442000003,0,0,0,0,0,0,0,776.2315199999999,758.61084,475.52364,0,0,207.97890999999998,71.10829000000001,0,0,4,0,17.62068,0,0,0,0,0,5.37068,0,0,12.25,0,0,0,,96559.10531000001,24637.548769999998,19057.258820000003,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1904541.17176,0,0,0,0,0,0,0,1231.92625,1160.20236,0,0,0,0,658.03127,0,0,502.17109000000005,0,15.9002,0,0,0,0,0,0,0,0,15.9002,0,0,55.82369,,1595635.33981,177337.03465,130336.87105000002,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",3422242.1395000005,0,0,11035.19988,11035.19988,0,0,0,2269596.3512399998,2011050.51321,6857.11206,8657.33006,682309.18227,27725.176730000003,53255.77578,17041.6382,0,1214382.40768,821.8904299999999,68630.61966,0,0,0,0,44895.061140000005,572.47542,-14.19435,11833.01275,11116.36209,227.90261,164217.71198,25697.506390000002,,1052924.0586400002,49368.05835,39318.47139,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",1381007.90395,0,0,15334.195389999999,15334.195389999999,0,0,0,331982.09819,326522.30345,-89.31506999999999,209.94715,36866.80354,1630.31182,27080.91182,196.87539,0,260576.29477,50.474030000000006,5459.79474,2.0439999999999996,0,2.0439999999999996,0,0,2.53277,1495.15993,761.26257,3084.69547,114.1,0,0,,956049.5025000001,43679.316479999994,33962.79139,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",25630.09701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25630.09701,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",271648.84419000003,0,0,1260.80729,1260.80729,0,0,0,30296.89842,20766.525739999997,407.7,0,0,129.19792999999999,5737.10304,0,0,12992.37366,1500.15111,7475.05512,8.88584,7.64384,1.242,0,0,0,328.52664999999996,678.41509,6459.22754,0,71.81297,1983.50459,,210678.38265,16564.35617,12848.399660000001,0
1820,"Акционерное общество ""ГУТА-Страхование""",17390.075859999997,0,0,0,0,0,0,0,17389.226359999997,17389.226359999997,0,0,0,0,0,0,0,17389.226359999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.8495,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",951931.18844,0,0,3971.47854,3971.47854,0,0,0,255592.82016,226181.21502,34282.003520000006,402.90179,4880.5050200000005,136.07528,27590.76806,3287.684,0,152876.83421,2724.44314,7708.32263,0,0,0,0,0,110.1498,1972.4954699999998,321.55304,5304.12432,0,20786.2826,916.99991,,635583.50592,32219.78391,24563.59991,0
1858,"Акционерное общество Страховая компания ""Армеец""",153171.88224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,153171.88224,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",3780.0633399999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3780.0633399999997,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",7082072.45037,0,0,7861.720359999999,7861.720359999999,0,0,0,1635998.30929,1322158.96538,6169.49655,307.27254999999997,255425.58935,142639.90193000002,4445.2078200000005,405,0,912766.49718,0,197330.59359,517.44407,0,517.44407,0,27453.42178,828.44896,7948.53394,0,158985.87476,1596.87008,116497.27012,11.4802,,5138833.13734,164950.40836,134428.87502,0
2346,"Акционерное общество ""Объединенная страховая компания""",230080.83769000001,0,0,6345.05873,6345.05873,0,0,0,70178.92957,67519.29239999999,39062.41268,8.68562,4347.28363,1083.69648,4939.2656,120.66625,0,13217.73845,4739.5436899999995,2659.63717,920.19817,0,0,0,703.25154,192.63189,0,33.59505,809.96052,0,0,0,,156497.59915000002,-1498.46345,-1442.28631,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",295996.6224,0,0,707.91607,707.91607,0,0,0,191761.42502999998,129483.77425999999,87977.32767,6.36989,9802.87846,11355.942949999999,523.06383,0,0,18814.33877,1003.8526899999999,61498.720779999996,139.48440000000002,139.48440000000002,0,0,1235.36365,3475.45039,0,301.06753000000003,56347.35066,0.00415,778.9300000000001,-1e-05,,82899.41392,11357.86776,9269.99962,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",6122.5045199999995,0,0,0,0,0,0,0,170.34753,168.44068000000001,0,0,0,0,0,0,0,153.4795,14.961179999999999,0,0,0,0,0,0,0,0,0,0,0,0,1.9068500000000002,,5952.1569899999995,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",31.284670000000002,0,0,0,0,0,0,0,31.284670000000002,0,0,0,0,0,0,0,0,0,0,31.284670000000002,0,0,0,0,0,0,31.284670000000002,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",208451.38249000002,0,0,5333.04347,87.74126,0,0,5245.30221,173982.37254,165539.48625999998,-80.38356,7.92972,2960.55534,0,9722.34007,5383.810349999999,4167.139770000001,146817.79086,727.44348,3829.77416,0,0,0,0,0,0,0,949.34505,2880.42911,0,29.73007,4583.38205,,0,15763.34729,13372.61919,0
3064,"Акционерное общество ""Боровицкое страховое общество""",1461.7190600000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1461.7190600000001,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1758120.13695,0,0,1608.7528399999999,1608.7528399999999,0,0,0,120205.39812,81350.58143,3274.8347400000002,49.975609999999996,158.32282,56.25,3682.80054,0,0,73925.76533000001,202.63239,7256.38736,0,0,0,0,54.41644,54.31726,160.36886,259.00118,6728.28362,0,31598.42933,0,,1576031.60873,33411.30886,26863.0684,0
3229,"Акционерное общество ""Страховая бизнес группа""",33573.55957,0,0,0,0,0,0,0,8143.833799999999,8129.84034,1436.8009399999999,0,0,66.16202,6231.00932,0,0,389.51953,6.34853,13.993459999999999,0,0,0,0,0,0,0,0,13.993459999999999,0,0,0,,11802.26678,7626.77262,6000.68637,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",38.563370000000006,0,0,0,0,0,0,0,-1.34829,-1.34829,0,0,0,0,-1.34829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.911660000000005,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",30218.60523,0,0,0,0,0,0,0,3772.8021200000003,2889.46886,0,4.90129,0,27,2242.1201499999997,0,0,579.47304,35.974380000000004,883.33326,0,0,0,0,755.33445,52.162760000000006,0,37.04853000000001,38.78752,0,0,0,,15633.996299999999,5986.13173,4825.67508,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",362596.62315,0,0,0,0,0,0,0,179890.44019,160167.39154,0,0,69.09340999999999,0,0,0,0,160098.29812999998,0,19723.04865,0,0,0,0,0,0,0,0,19723.04865,0,0,0,,0,103034.10707,79672.07589000001,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",38308.92911999999,0,0,0,0,0,0,0,4175.96655,4175.96655,0,0,261.1261,0,1692.0443,0,0,2222.79615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,34132.962569999996,0,0
3947,"Акционерное общество ""АИГ страховая компания""",491836.52450999996,0,0,0,0,0,0,0,477747.32187,79465.192,0,0,0,0,94579.70069,0,0,-15114.508689999999,0,288763.24326,0,0,0,0,0,0,0,0,288763.24326,0,0,109518.88661,,0,14089.20264,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",101949.25948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,101949.25948,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",591433.8907199999,0,0,1783.1473799999999,1783.1473799999999,0,0,0,589650.7433399999,338837.16175,0,0,0,0,19532.65931,0,0,319304.50244,0,170828.95369,0,0,0,0,0,0,0,5954.6714999999995,164874.28219,0,79984.6279,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",717016.14714,0,0,21004.7578,13274.8805,0,0,7729.8773,696011.38934,654029.0175600001,299899.99025,-1196.8266700000001,-8108.8255500000005,8380.067309999999,30672.36256,-23103.95236,0,347486.20202,0,36570.55181,1316.15449,2357.2852700000003,0,0,-1770.51787,0,0,0,33782.01404,3242.9011499999997,0,5411.81997,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",34619.45955,0,0,0,0,0,0,0,34619.45955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31168.590089999998,3450.86946,,0,0,0,0
