"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.05.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,314259293.8704,114828224.24897,80525463.87221,69674634.77259,9314588.77302,27339854.543929998,32213591.371249996,759708.4241,46891.66029,11074246.59088,30,963928.41875,9490749.5833,140391.02215,479147.56668,34074289.396479994,21000842.757939998,13296423.85432,114.73835,7659218.246749999,43021.14829,2064.77023,13078982.98756,598795.4246,37665.87564,12349114.33488,12838.49403,80568.85841,244233.0887,477.917,316144.70359,68068552.56246,45519387.44965999,23060.9963,277.478,24159339.720180005,105694572.71637997,89630442.63935001,43981040.93241001,182527.681,2336470.28018,1474461.5864799998,4009738.4599,1207317.79556,1045548.1701200001,17771858.388319995,19978009.011259995,6765370.1058600005,800673.30101,69.62,228484.53198,750382.00443,199131.49168000004,534277.23647,4101839.123830001,457663.18695000006,3652405.46879,5646354.50238,,24864674.998740006,336772.15617999993,222264.09897000002,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",12108181.212310001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551502.24213,2106730.61013,0,0,1444771.632,6193999.27958,5702757.40543,2223059.28757,-1631.88298,4188.86416,31585.19642,16434.26906,37615.46017,13641.45701,241948.89581,3149557.31522,215689.00532,5351.81284,0,1374.56477,-545.50382,1058.50809,11049.63935,140088.31631,57311.66778,23127.82189,252425.04694,,2301455.91533,45543.06645,15680.70882,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",221181.60694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216641.75391,3276.0848,0,0,213365.66911,3578.18005,3354.4765,1662.92526,0,0,0,0,0,0,1425.0295,266.52174,223.70355,32.174,0,0,0,0,0,191.52955,0,0,0,,961.67298,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",1566150.50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423698.18209,423698.18209,0,0,0,1142452.31865,1102992.36407,875470.45715,0,0,0,0,0,0,0,227521.90692,1221.372,418.49215,0,0,0,0,0,802.87985,0,0,38238.58258,,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",68421.7764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54119.70454,4418.65604,0,0,49701.0485,14302.07186,12110.23676,1619.71106,0,-297.94478,0,846.87437,0,0,4897.77352,5043.82259,2191.8351,0,0,0,0,0,17.30726,1413.52784,761,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",6823.3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6823.3924,1541.22373,0,0,0,0,1541.22373,0,0,0,0,4785.16867,0,0,0,0,0,3146.04767,1639.121,0,0,497,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",169155.62146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16225.63414,16225.63414,-12.29827,0,0,151281.02088,125971.81819,0,0,0,0,50155.99218,0,0,71694.17311,4121.6529,15382.96768,0,0,0,0,0,4703.44846,10679.51922,0,7362.06193,2564.17308,,0,958.625,690.34144,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",29070.27148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27857.02,0,0,0,27857.02,1213.25148,0,0,0,0,0,0,0,0,0,0,152.225,0,0,0,0,0,0,0,152.225,0,1061.02648,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",396509.78486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29643.03197,57253.99969,0,0,52257.75905,166195.88944,150082.32636,217499.05683,0,0,30,7335.11271,6184.0616,6159.44212,104720.55853,9630.97505,9935.65797,472.84515,0,258.945,389.68,90.3,67.48,18338.5479,164,0,6177.90511,,200670.86345,0,0,0
