year_quarter,metric,insurer,value,linemain
2023-07-01,direct_premiums,0001,64.80505703819,all_lines
2023-07-01,direct_premiums_market_share,0001,0.03935362267592109,all_lines
2024-07-01,direct_premiums,0001,65.48701958462,all_lines
2024-07-01,direct_premiums_market_share,0001,0.027171581123598663,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,0001,-0.012182041552322425,all_lines
2024-07-01,direct_premiums_q_to_q_change,0001,0.010523292125614762,all_lines
2023-07-01,direct_premiums,0621,82.85031881369,all_lines
2023-07-01,direct_premiums_market_share,0621,0.050311817228280716,all_lines
2024-07-01,direct_premiums,0621,97.06386132474,all_lines
2024-07-01,direct_premiums_market_share,0621,0.04027330299780977,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,0621,-0.010038514230470946,all_lines
2024-07-01,direct_premiums_q_to_q_change,0621,0.1715568837219899,all_lines
2023-07-01,direct_premiums,0928,126.33245641434,all_lines
2023-07-01,direct_premiums_market_share,0928,0.07671684971316925,all_lines
2024-07-01,direct_premiums,0928,144.09818958626,all_lines
2024-07-01,direct_premiums_market_share,0928,0.059788576010051185,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,0928,-0.016928273703118064,all_lines
2024-07-01,direct_premiums_q_to_q_change,0928,0.1406268323767304,all_lines
2023-07-01,direct_premiums,1208,232.08016800945998,all_lines
2023-07-01,direct_premiums_market_share,1208,0.14093337433568517,all_lines
2024-07-01,direct_premiums,1208,195.86328400421996,all_lines
2024-07-01,direct_premiums_market_share,1208,0.08126671734660817,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,1208,-0.059666656989077,all_lines
2024-07-01,direct_premiums_q_to_q_change,1208,-0.1560533341382438,all_lines
2023-07-01,direct_premiums,1209,104.19498395714,all_lines
2023-07-01,direct_premiums_market_share,1209,0.06327361275149436,all_lines
2024-07-01,direct_premiums,1209,107.64845346536,all_lines
2024-07-01,direct_premiums_market_share,1209,0.0446650146046792,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,1209,-0.01860859814681516,all_lines
2024-07-01,direct_premiums_q_to_q_change,1209,0.03314429713469292,all_lines
2023-07-01,direct_premiums,2239,134.74329878532,all_lines
2023-07-01,direct_premiums_market_share,2239,0.08182443131531394,all_lines
2024-07-01,direct_premiums,2239,163.96522741138,all_lines
2024-07-01,direct_premiums_market_share,2239,0.0680317184430843,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,2239,-0.013792712872229648,all_lines
2024-07-01,direct_premiums_q_to_q_change,2239,0.21687110891219816,all_lines
2023-07-01,direct_premiums,3447,119.48021448633,all_lines
2023-07-01,direct_premiums_market_share,3447,0.07255574631100545,all_lines
2024-07-01,direct_premiums,3447,221.15931485408998,all_lines
2024-07-01,direct_premiums_market_share,3447,0.09176243327171835,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,3447,0.0192066869607129,all_lines
2024-07-01,direct_premiums_q_to_q_change,3447,0.8510120341254771,all_lines
2023-07-01,direct_premiums,3692,194.45398433860998,all_lines
2023-07-01,direct_premiums_market_share,3692,0.11808443780832538,all_lines
2024-07-01,direct_premiums,3692,585.90344315676,all_lines
2024-07-01,direct_premiums_market_share,3692,0.24310043482370614,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,3692,0.12501599701538074,all_lines
2024-07-01,direct_premiums_q_to_q_change,3692,2.0130698794862667,all_lines
2023-07-01,direct_premiums,3825,49.66727953478001,all_lines
2023-07-01,direct_premiums_market_share,3825,0.03016103167688565,all_lines
2024-07-01,direct_premiums,3825,116.26293315582,all_lines
2024-07-01,direct_premiums_market_share,3825,0.04823929596962162,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,3825,0.01807826429273597,all_lines
2024-07-01,direct_premiums_q_to_q_change,3825,1.3408355409199675,all_lines
2023-07-01,direct_premiums,4331,53.85437852809,all_lines
2023-07-01,direct_premiums_market_share,4331,0.032703696114204886,all_lines
2024-07-01,direct_premiums,4331,69.33102315612,all_lines
2024-07-01,direct_premiums_market_share,4331,0.028766517884271543,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,4331,-0.003937178229933343,all_lines
2024-07-01,direct_premiums_q_to_q_change,4331,0.2873795047130198,all_lines
2023-07-01,direct_premiums,top-10,1165.79014705068,all_lines
2023-07-01,direct_premiums_market_share,top-10,0.7079395908764158,all_lines
2024-07-01,direct_premiums,top-10,1766.78274969937,all_lines
2024-07-01,direct_premiums_market_share,top-10,0.7330655924751489,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,top-10,0.025126001598733128,all_lines
2024-07-01,direct_premiums_q_to_q_change,top-10,0.5155238309134237,all_lines
2023-07-01,direct_premiums,top-20,1445.93845049407,all_lines
2023-07-01,direct_premiums_market_share,top-20,0.8780628980824199,all_lines
2024-07-01,direct_premiums,top-20,2144.7291752432097,all_lines
2024-07-01,direct_premiums_market_share,top-20,0.8898814321205741,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,top-20,0.01181853403815425,all_lines
2024-07-01,direct_premiums_q_to_q_change,top-20,0.4832783335351284,all_lines
2023-07-01,direct_premiums,top-5,807.09012203406,all_lines
2023-07-01,direct_premiums_market_share,top-5,0.4901148394834992,all_lines
2024-07-01,direct_premiums,top-5,1310.9894590127099,all_lines
2024-07-01,direct_premiums_market_share,top-5,0.5439498798951682,all_lines
2024-07-01,direct_premiums_market_share_q_to_q_change,top-5,0.05383504041166898,all_lines
2024-07-01,direct_premiums_q_to_q_change,top-5,0.6243408551559313,all_lines
2023-07-01,direct_premiums,total,1646.7367584393096,all_lines
