metric,insurer,line,value_type,year_quarter,value
direct_losses,0000,нс и оглс,base,2022-07-01,1.5445945088200002
direct_losses,0000,нс и оглс,base,2023-07-01,1.6150079097600003
direct_losses,0000,нс и оглс,base,2024-07-01,1.80510443947
direct_losses,0001,дмс,base,2020-07-01,3.95578047633
direct_losses,0001,дмс,base,2021-07-01,5.64559728799
direct_losses,0001,дмс,base,2022-07-01,5.58173889213
direct_losses,0001,дмс,base,2023-07-01,5.38934864752
direct_losses,0001,дмс,base,2024-07-01,6.05724260753
direct_losses,0001,нс и оглс,base,2020-07-01,0.9418805366899998
direct_losses,0001,нс и оглс,base,2021-07-01,1.05160396949
direct_losses,0001,нс и оглс,base,2022-07-01,1.2326907408199999
direct_losses,0001,нс и оглс,base,2023-07-01,1.07505427612
direct_losses,0001,нс и оглс,base,2024-07-01,0.95264988989
direct_losses,0001,осаго,base,2020-07-01,11.827985122309999
direct_losses,0001,осаго,base,2021-07-01,13.79013841301
direct_losses,0001,осаго,base,2022-07-01,16.68834867315
direct_losses,0001,осаго,base,2023-07-01,8.766742497220001
direct_losses,0001,осаго,base,2024-07-01,10.427293362220002
direct_losses,0013,дмс,base,2022-07-01,0.09046843868999979
direct_losses,0055,дмс,base,2020-07-01,0.039529712009999995
direct_losses,0055,нс и оглс,base,2020-07-01,0.0028852983799999
direct_losses,0141,дмс,base,2020-07-01,0.3662750914199999
direct_losses,0141,дмс,base,2021-07-01,0.47934781829
direct_losses,0141,дмс,base,2022-07-01,0.47928735888999996
direct_losses,0141,дмс,base,2023-07-01,0.38123737028999993
direct_losses,0141,дмс,base,2024-07-01,0.4094666005199999
direct_losses,0141,нс и оглс,base,2020-07-01,0.003780125
direct_losses,0141,нс и оглс,base,2021-07-01,0.00732665
direct_losses,0141,нс и оглс,base,2022-07-01,0.00580168
direct_losses,0141,нс и оглс,base,2023-07-01,0.007707049999999899
direct_losses,0141,нс и оглс,base,2024-07-01,0.00605105
direct_losses,0141,осаго,base,2020-07-01,0.0137517373699999
direct_losses,0141,осаго,base,2021-07-01,0.02618809911
direct_losses,0141,осаго,base,2022-07-01,0.0268390076999999
direct_losses,0141,осаго,base,2023-07-01,0.0174765337199998
direct_losses,0141,осаго,base,2024-07-01,0.0142274699099999
direct_losses,0177,дмс,base,2020-07-01,0.0023905367199999
direct_losses,0177,дмс,base,2021-07-01,0.0011064569999999
direct_losses,0177,нс и оглс,base,2020-07-01,0.038453175879999996
direct_losses,0177,нс и оглс,base,2021-07-01,0.00834757416
direct_losses,0177,осаго,base,2020-07-01,1.19445545475
direct_losses,0177,осаго,base,2021-07-01,0.6501219581699998
direct_losses,0191,нс и оглс,base,2020-07-01,0.20900411283999978
direct_losses,0191,нс и оглс,base,2021-07-01,0.23063496126999988
direct_losses,0191,нс и оглс,base,2022-07-01,0.60970195225
direct_losses,0191,нс и оглс,base,2023-07-01,0.8218398767499999
direct_losses,0191,нс и оглс,base,2024-07-01,1.55084233268
direct_losses,0191,осаго,base,2020-07-01,1.1682084098199998
direct_losses,0191,осаго,base,2021-07-01,0.79864895292
direct_losses,0191,осаго,base,2022-07-01,2.3469455625
direct_losses,0191,осаго,base,2023-07-01,3.22252909622
direct_losses,0191,осаго,base,2024-07-01,5.76707403397
direct_losses,0206,дмс,base,2020-07-01,0.02054925676
direct_losses,0206,дмс,base,2021-07-01,0.0213498856799999
direct_losses,0206,дмс,base,2022-07-01,0.03947091177
direct_losses,0206,дмс,base,2023-07-01,0.0305817379
direct_losses,0206,дмс,base,2024-07-01,0.0436493756599999
direct_losses,0206,нс и оглс,base,2020-07-01,0.0009052099999999
direct_losses,0206,нс и оглс,base,2021-07-01,0.0011317
direct_losses,0206,нс и оглс,base,2022-07-01,0.0012624
direct_losses,0206,нс и оглс,base,2023-07-01,0.0017488
direct_losses,0206,нс и оглс,base,2024-07-01,0.00224085
direct_losses,0212,нс и оглс,base,2020-07-01,0.00035835676999999995
