year_quarter,value_type,metric,insurer,line,value
2024Q3,base,direct_premiums,3692,все линии,585.90344315676
2023Q3,base,direct_premiums,3692,все линии,194.45398433860998
2024Q3,base_change,direct_premiums,3692,все линии,2.0130698794862667
2024Q3,market_share,direct_premiums,3692,все линии,0.24336875419832013
2023Q3,market_share,direct_premiums,3692,все линии,0.11808443780832537
2024Q3,market_share_change,direct_premiums,3692,все линии,12.528431638999477
2024Q3,base,direct_premiums,3447,все линии,221.15931485409
2023Q3,base,direct_premiums,3447,все линии,119.48021448633
2024Q3,base_change,direct_premiums,3447,все линии,0.8510120341254773
2024Q3,market_share,direct_premiums,3447,все линии,0.09186371502683484
2023Q3,market_share,direct_premiums,3447,все линии,0.07255574631100543
2024Q3,market_share_change,direct_premiums,3447,все линии,1.9307968715829404
2024Q3,base,direct_premiums,1208,все линии,195.86328400422
2023Q3,base,direct_premiums,1208,все линии,232.08016800945998
2024Q3,base_change,direct_premiums,1208,все линии,-0.15605333413824368
2024Q3,market_share,direct_premiums,1208,все линии,0.08135641457315237
2023Q3,market_share,direct_premiums,1208,все линии,0.14093337433568515
2024Q3,market_share_change,direct_premiums,1208,все линии,-5.9576959762532775
2024Q3,base,direct_premiums,2239,все линии,163.96522741138
2023Q3,base,direct_premiums,2239,все линии,134.74329878532
2024Q3,base_change,direct_premiums,2239,все линии,0.21687110891219816
2024Q3,market_share,direct_premiums,2239,все линии,0.06810680768823436
2023Q3,market_share,direct_premiums,2239,все линии,0.08182443131531393
2024Q3,market_share_change,direct_premiums,2239,все линии,-1.3717623627079567
2024Q3,base,direct_premiums,0928,все линии,144.09818958626002
2023Q3,base,direct_premiums,0928,все линии,126.33245641434
2024Q3,base_change,direct_premiums,0928,все линии,0.14062683237673063
2024Q3,market_share,direct_premiums,0928,все линии,0.05985456697932162
2023Q3,market_share,direct_premiums,0928,все линии,0.07671684971316924
2024Q3,market_share_change,direct_premiums,0928,все линии,-1.6862282733847613
2024Q3,base,direct_premiums,3825,все линии,116.26293315582
2023Q3,base,direct_premiums,3825,все линии,49.66727953478
2024Q3,base_change,direct_premiums,3825,все линии,1.3408355409199677
2024Q3,market_share,direct_premiums,3825,все линии,0.048292539550760315
2023Q3,market_share,direct_premiums,3825,все линии,0.03016103167688564
2024Q3,market_share_change,direct_premiums,3825,все линии,1.8131507873874675
2024Q3,base,direct_premiums,1209,все линии,107.64845346536
2023Q3,base,direct_premiums,1209,все линии,104.19498395714
2024Q3,base_change,direct_premiums,1209,все линии,0.03314429713469292
2024Q3,market_share,direct_premiums,1209,все линии,0.044714313112905
2023Q3,market_share,direct_premiums,1209,все линии,0.06327361275149436
2024Q3,market_share_change,direct_premiums,1209,все линии,-1.8559299638589357
2024Q3,base,direct_premiums,0621,все линии,97.06386132474
2023Q3,base,direct_premiums,0621,все линии,82.85031881369
2024Q3,base_change,direct_premiums,0621,все линии,0.1715568837219899
2024Q3,market_share,direct_premiums,0621,все линии,0.040317754203673915
2023Q3,market_share,direct_premiums,0621,все линии,0.05031181722828071
2024Q3,market_share_change,direct_premiums,0621,все линии,-0.9994063024606793
2024Q3,base,direct_premiums,4331,все линии,69.33102315612
2023Q3,base,direct_premiums,4331,все линии,53.85437852809
2024Q3,base_change,direct_premiums,4331,все линии,0.2873795047130198
2024Q3,market_share,direct_premiums,4331,все линии,0.028798268605302244
2023Q3,market_share,direct_premiums,4331,все линии,0.032703696114204886
2024Q3,market_share_change,direct_premiums,4331,все линии,-0.3905427508902642
2024Q3,base,direct_premiums,0001,все линии,65.48701958462
2023Q3,base,direct_premiums,0001,все линии,64.80505703819
2024Q3,base_change,direct_premiums,0001,все линии,0.010523292125614762
2024Q3,market_share,direct_premiums,0001,все линии,0.027201571451092914
2023Q3,market_share,direct_premiums,0001,все линии,0.03935362267592108
2024Q3,market_share_change,direct_premiums,0001,все линии,-1.2152051224828166
2024Q3,base,premiums_interm,3692,все линии,564.3489492051599
2023Q3,base,premiums_interm,3692,все линии,138.24470381633
2024Q3,base_change,premiums_interm,3692,все линии,3.0822464342282947
2024Q3,market_share,premiums_interm,3692,все линии,0.29606307672861426
2023Q3,market_share,premiums_interm,3692,все линии,0.13200903037447348
2024Q3,market_share_change,premiums_interm,3692,все линии,16.40540463541408
2024Q3,base,premiums_interm,3447,все линии,220.88541307641
2023Q3,base,premiums_interm,3447,все линии,82.94767910845
2024Q3,base_change,premiums_interm,3447,все линии,1.6629486858530813
2024Q3,market_share,premiums_interm,3447,все линии,0.11587868656790777
2023Q3,market_share,premiums_interm,3447,все линии,0.07920623639562543
2024Q3,market_share_change,premiums_interm,3447,все линии,3.667245017228234
2024Q3,base,premiums_interm,1208,все линии,74.5286434324
2023Q3,base,premiums_interm,1208,все линии,106.14646793946001
2024Q3,base_change,premiums_interm,1208,все линии,-0.2978697748576339
2024Q3,market_share,premiums_interm,1208,все линии,0.03909846826167251
2023Q3,market_share,premiums_interm,1208,все линии,0.10135861934342012
2024Q3,market_share_change,premiums_interm,1208,все линии,-6.226015108174762
2024Q3,base,premiums_interm,2239,все линии,105.27175182601
2023Q3,base,premiums_interm,2239,все линии,72.14275280014
2024Q3,base_change,premiums_interm,2239,все линии,0.4592145120612269
2024Q3,market_share,premiums_interm,2239,все линии,0.055226608966165276
2023Q3,market_share,premiums_interm,2239,все линии,0.06888867770547359
2024Q3,market_share_change,premiums_interm,2239,все линии,-1.3662068739308315
2024Q3,base,premiums_interm,0928,все линии,99.74078776624
2023Q3,base,premiums_interm,0928,все линии,68.56734402422
2024Q3,base_change,premiums_interm,0928,все линии,0.45463980245477525
2024Q3,market_share,premiums_interm,0928,все линии,0.052325010160821174
2023Q3,market_share,premiums_interm,0928,все линии,0.06547454152034599
2024Q3,market_share_change,premiums_interm,0928,все линии,-1.314953135952481
2024Q3,base,premiums_interm,3825,все линии,94.89109306215
2023Q3,base,premiums_interm,3825,все линии,47.467384332349994
2024Q3,base_change,premiums_interm,3825,все линии,0.9990798818354055
2024Q3,market_share,premiums_interm,3825,все линии,0.04978081204136054
2023Q3,market_share,premiums_interm,3825,все линии,0.04532631780564326
2024Q3,market_share_change,premiums_interm,3825,все линии,0.44544942357172823
2024Q3,base,premiums_interm,1209,все линии,96.48965595049
2023Q3,base,premiums_interm,1209,все линии,81.65354990997
2024Q3,base_change,premiums_interm,1209,все линии,0.18169578734639316
2024Q3,market_share,premiums_interm,1209,все линии,0.05061943404594244
