year_quarter,metric,insurer,value,linemain
2024-07-01,total_premiums_market_share_q_to_q_change,3692,0.25762300644615266,all_lines
2023-07-01,total_premiums,4331,21.567113945179997,all_lines
2024-07-01,total_premiums_market_share,1209,0.03445138724369964,all_lines
2023-07-01,total_premiums_market_share,0928,0.07736885981604315,all_lines
2023-07-01,total_premiums,2239,54.88840673086,all_lines
2024-07-01,total_premiums_q_to_q_change,1209,0.020426431419948987,all_lines
2023-07-01,total_premiums_market_share,0001,0.03852856629387611,all_lines
2024-07-01,total_premiums,4331,27.809471001099997,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,0928,-0.029837624900203023,all_lines
2023-07-01,total_premiums_market_share,1208,0.10171991981238357,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,3987,0.01374071810851319,all_lines
2024-07-01,total_premiums_market_share,3825,0.056514302936048526,all_lines
2024-07-01,total_premiums_market_share,3972,0.0217359279496012,all_lines
2023-07-01,total_premiums,0621,29.62277529122,all_lines
2023-07-01,total_premiums,top-20,536.72548100041,all_lines
2024-07-01,total_premiums_q_to_q_change,3987,6.209313698775539,all_lines
2024-07-01,total_premiums,1209,39.730315693010006,all_lines
2024-07-01,total_premiums,0928,54.814366548630005,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,1284,-0.008439633683998877,all_lines
2023-07-01,total_premiums,1284,15.60873995384,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,top-10,0.09562176402903855,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,1208,-0.038165130455408994,all_lines
2024-07-01,total_premiums_q_to_q_change,1284,0.2510947171104477,all_lines
2024-07-01,total_premiums_q_to_q_change,top-10,1.1421916103207714,all_lines
2024-07-01,total_premiums_market_share,1208,0.06355478935697458,all_lines
2023-07-01,total_premiums,0928,47.59513935053,all_lines
2023-07-01,total_premiums,3692,64.39649968805999,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,0001,-0.01946723375622488,all_lines
2024-07-01,total_premiums_market_share,1284,0.016933344100554477,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,total,0.0,all_lines
2023-07-01,total_premiums_market_share,3692,0.1046805162248968,all_lines
2024-07-01,total_premiums_q_to_q_change,3972,0.509296971319757,all_lines
2024-07-01,total_premiums,total,1153.22832755525,all_lines
2024-07-01,total_premiums_market_share,3692,0.3623035226710495,all_lines
2024-07-01,total_premiums_market_share,top-5,0.6068253854308074,all_lines
2024-07-01,total_premiums_market_share,4331,0.024114453605257692,all_lines
2023-07-01,total_premiums_market_share,0621,0.048153664011554694,all_lines
2024-07-01,total_premiums_market_share,top-20,0.9050643403185439,all_lines
2024-07-01,total_premiums_q_to_q_change,top-5,1.5667924875975723,all_lines
2024-07-01,total_premiums,1208,73.29318343826999,all_lines
2024-07-01,total_premiums_market_share,3987,0.01856931357744856,all_lines
2024-07-01,total_premiums_market_share,total,1.0,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,top-20,0.03258368229612674,all_lines
2023-07-01,total_premiums_market_share,2239,0.08922451964285671,all_lines
2023-07-01,total_premiums_market_share,3987,0.00482859546893537,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,4351,-0.017565052466105652,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,2239,-0.03740492375936332,all_lines
2024-07-01,total_premiums_q_to_q_change,4331,0.28943868297756614,all_lines
2024-07-01,total_premiums_market_share,0621,0.03096398502749165,all_lines
